Category,Product,Product ID,Price,Old Price,Description,Image URL,Product URL
Electronics & Batteries,Quadra Heritage Waxed Canvas Messenger Bag,4503,$74.20,,Material: 100% waxed cotton canvas. Genuine leather accents. Zippered main compartment. Dual front slip pockets. Secure stud fastenings. Antique brass effect fittings. Fully lined. Internal slip pocket. Laptop compatible up to 14in. Cotton webbing grab handle. Adjustable shoulder strap. Dimensions 28 x 34 x 12cm. Capacity: 7 litres. Washing instructions: sponge clean only.[newline]Product Number: SP220062,https://assets.sellers.loblaw.ca/products/all/1291/220062_1.jpg?size=274,https://www.loblaws.ca/quadra-heritage-waxed-canvas-messenger-bag/p/SP220062
Electronics & Batteries,Turmode Grid Parabolic WiFi Antenna for 5.8GHz,4578,$312.98,,Turmode WiFi Antenna is designed to increase the signal strength and range of your 5.8 GHz 802.11b/g/n Wi-Fi device. This high gain antenna can provides further coverage for your Wi-Fi devices such as routers- adapters- access points and repeaters. So you can expand your network for reliable coverage throughout your home.[newline]Extend coverage of your wireless network[newline]Works with most wireless devices that use an N-Type connection[newline]Operates at 5725 - 5850MHz and up to 29dBi[newline]Delivers a strong connection with a wide range[newline]Helps amplify the signal strength of your Wi-Fi device[newline]Rugged weatherproof construction with corrosion resistance[newline]Product Number: SP134795,https://assets.sellers.loblaw.ca/products/all/1177/134795_1.jpg?size=274,https://www.loblaws.ca/turmode-grid-parabolic-wifi-antenna-for-5-8ghz/p/SP134795
Electronics & Batteries,SanDisk Ultra microSDXC and microSDHC 256 GB UHS-I Card with Adapter,4653,$104.74,,Full HD video recording[newline]Transfers up to 1200 photos[newline]Ideal for premium Android based smartphones and tablets[newline]Transfer speeds of up to 100 MB/s[newline]Rated A1 for faster app performance[newline]UHS Speed Class 1 (U1) and Class 10 for Full HD video recording and playback[newline]Waterproof- temperature proof- shockproof- and X-ray proof[newline]Transfers up to 1200 photos a minute[newline]SanDisk Memory Zone app lets you auto-manage media and memory for peak phone performance[newline]Warranty: 10 years[newline]Model: SDSQUNI-256G-CN6MA[newline]Product Number: SP155393,https://assets.sellers.loblaw.ca/products/all/1127/155393_1.jpg?size=274,https://www.loblaws.ca/sandisk-ultra-microsdxc-and-microsdhc-256-gb-uhs-i/p/SP155393
Electronics & Batteries,W2062A HP 116A Ylw Original Laser Toner Crtg,4728,$73.93,,W2062A HP 116A Ylw Original Laser Toner Crtg[newline]Product Number: SP180341,https://assets.sellers.loblaw.ca/products/all/1304/180341_1.jpg?size=274,https://www.loblaws.ca/w2062a-hp-116a-ylw-original-laser-toner-crtg/p/SP180341
Electronics & Batteries,Electronic Master Digital Outdoor HDTV Antenna,4504,$66.99,,Electronic Master Digital Outdoor Amplified HDTV Antenna comes with low profile- contemporary styled high quality outdoor antenna- anti-UV coating and waterproof design- lightweight- compact size and easy to install- portable for mobile use (camping- boating- etc)- high Performance for digital TV signal reception and with dipole inbuilt for the excellent UHF band signal.[newline]Get access to local broadcast TV shows with no monthly fees[newline]Compatible with any TV- DVR- or computer with a digital tuner[newline]Excellent reception quality within 60 miles of the broadcast source[newline]Pick up any crystal clear HD signals being broadcast in your area[newline]Long lasting and provides superior performance[newline]Built-in high gain and low noise amplifier[newline]Designed and tested for high quality UHF- VHF and HD reception[newline]Compact packaging with foldable dipole design[newline]Great for attic or outdoor use[newline]RoHS Compliant[newline]Product Number: SP76069,https://assets.sellers.loblaw.ca/products/all/1177/76069_1.jpg?size=274,https://www.loblaws.ca/electronic-master-digital-outdoor-hdtv-antenna/p/SP76069
Electronics & Batteries,Bullet Rotate Basic USB Flash Drive (Orange/Silver),4579,$5.95,,Simple rotating protective shield. Plastic and Aluminium. Compliances: EMC- WEEE- RoHS- PVC Free.[newline]Product Number: SP219134,https://assets.sellers.loblaw.ca/products/all/1291/219134_1.jpg?size=274,https://www.loblaws.ca/bullet-rotate-basic-usb-flash-drive-orange-silver/p/SP219134
Electronics & Batteries,T127120-S Epson Durabrite Ultra Black Extra Highcap Workf,4729,$51.77,,Compatible printers: Epson Stylus NX530- Epson Stylus NX625- Epson WorkForce 545- Epson WorkForce 60- Epson WorkForce 630- Epson WorkForce 633- Epson WorkForce 635- Epson WorkForce 645- Epson WorkForce 840- Epson WorkForce 845- Epson WorkForce 3520- Epson WorkForce 3540- Epson WorkForce 7010- Epson WorkForce 7510- Epson WorkForce 7520[newline]Product Number: SP182398,https://assets.sellers.loblaw.ca/products/all/1304/182398_1.jpg?size=274,https://www.loblaws.ca/t127120-s-epson-durabrite-ultra-black-extra-highca/p/SP182398
Electronics & Batteries,Turmode 15 ft RP TNC Male to SMA Male Adapter Cable,4654,$51.98,,Turmode is the product for you if you need more length between your existing wireless device and Hi-Gain Antenna. It's compatible with most Wi-Fi Antennas- so it is easy for you to extend your wireless network. Just replace your existing cable that runs between your wireless device and Antenna and you're ready to use your network with extended range.[newline]High quality construction- low signal loss- minimizes signal degradation[newline]Supports wireless 802.11 a/b/g/n/ac- 2.4/5.0 GHz[newline]Compatible to most Wi-Fi antennas and wireless devices[newline]Extend your wireless signal further than usual[newline]Product Number: SP76191,https://assets.sellers.loblaw.ca/products/all/1177/76191_1.jpg?size=274,https://www.loblaws.ca/turmode-15-ft-rp-tnc-male-to-sma-male-adapter-cabl/p/SP76191
Electronics & Batteries,TygerWire 25 ft High Quality HDMI Cable,4580,$19.00,,TygerWire High Quality HDMI Cable can enhance your TV watching experience. This HDMI cable delivers incredible picture quality and digital surround sound for your entertainment- it supports most screen resolutions and refresh rates. so you'll enjoy virtually blur-free fast action scenes and eye-popping image quality.[newline]Delivers incredible picture quality and digital surround sound[newline]Enhance your TV watching experience[newline]Supports most screen resolutions and refresh rates[newline]Enjoy virtually blur-free fast action scenes and eye-popping image quality[newline]Support full HD 1080P and beyond[newline]HDMI with Ethernet supports enhanced 2 way communication[newline]Meets all current HDMI standards[newline]Premium gold connectors[newline]3D compatible[newline]RoHS Compliant- UL Listed- ISO9001[newline]Product Number: SP79673,https://assets.sellers.loblaw.ca/products/all/1177/79673_1.jpg?size=274,https://www.loblaws.ca/tygerwire-25-ft-high-quality-hdmi-cable/p/SP79673
Electronics & Batteries,Avenue Trace 3-in-1 Lanyard Charging Cable,4505,$5.45,,The Trace 3-in-1 charging cable comes in a lanyard and features rotating Type C and 2-in-1 dual compatible tips that are compatible with all Android and iOS phones. The swivel lobster clip is perfect to connect your badge too. Only supports charging. Polyester. 90cm long.[newline]Product Number: SP217005,https://assets.sellers.loblaw.ca/products/all/1291/217005_1.jpg?size=274,https://www.loblaws.ca/avenue-trace-3-in-1-lanyard-charging-cable/p/SP217005
